Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,修改,First,線別,VIP,製令單號,品名,品號,版次,預計完工日,料齊日,實際生產,MO數量,反面,正面,SMT C.T(sec.),生產工時(min),換線工時(min),總工時(min),上線日,Unnamed: 24,上線時間,結束時間,備註,連板,Initail,Unnamed: 30,重要工單,特採單號
,,,,,1/15,,B,,59N125020193,LEC-AL-E3940-8G-ER/IVN5,59-72506-5310,B1,2/13,1/24,284,,48,30,78,369.2,60,429.2,2025-02-08 00:00:00,,,,純SMT,2,2025-01-03 00:00:00,,重要工單,DEV-0053012
,,,,,,,,,,,,,,,,,,,,,,1308.1666666666667,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,夜班開線8小時,,,,,,,,,,,,,240,,,,,,,,,,
,,,,,1/20,,A,,55E124010432,RMXM-200,55-32205-003E,A1,2/11,2/7,10,,43,40,83,13.833333333333334,80,93.83333333333333,2025-02-08 00:00:00,,,,Candace,1,2025-01-14 00:00:00,,,DEV-0053365
,,,,,1/20,,A,,55E125010184,RMXM-200-B,55-32205-104E,A1,2/11,2/7,6,,46,40,86,8.6,80,88.6,2025-02-08 00:00:00,,,,Candace,1,2025-01-14 00:00:00,,,DEV-0053365
,,,,,1/14,,A,,59N125010485,Express-SL-i5-6440EQ/Redflex Nirvana,59-72128-2330,A3,2/11,2/7,36,,68,35,103,61.8,60,121.8,2025-02-08 00:00:00,,,,純SMT(2/10 上午接測),2,2025-01-08 00:00:00,,重要工單,
,,,,,1/22,,A,,59N125030040,N5511 Power board,59-63515-2010,A2,2/11,2/4,5,,20,20,40,3.3333333333333335,60,85,2025-02-08 00:00:00,,,,,2,2024-12-26 00:00:00,,重要工單,
,,,,,,,A,,59N125020088,EGX-MXM-T1000/Align,59-7C003-A010,A2,2/11,2/3,360,,39.5,35.5,75,450,40,490,2025-02-08 00:00:00,,,,純SMT,2,2024-12-24 00:00:00,,重要工單,
,,,,,1/9,,A,,55N125020036,SEMI-MF 1A210-DB,55-14083-0020,A1,2/10,1/8,30,,20,23.9,43.9,21.95,60,85,2025-02-08 00:00:00,,,,,2,2024-12-04 00:00:00,,,
,,,,,1/9,,A,,59N125010319,ETX-BT-E3815-NO AUDIO,59-71116-E040,B4,2/10,2/3,10,,52.26,43,95.25999999999999,15.876666666666665,60,85,2025-02-08 00:00:00,,,,純SMT,2,2024-12-26 00:00:00,,,
,,,,,,,,,,,,,,,,,,,,,,1289.2333333333331,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,E,,前置FAI,,,,,,,,,,,0,,50,,,,,,,,,,
,,,,,2/7,,E,,91N125020211,T650QVN07.5/55.65T55.S69/EC code: 06,91-E0053-0010,A1,2/12,2/6,2020,,0,6,6,202,0,202,2025-02-08 00:00:00,252.5,,,,1,2024-12-30 00:00:00,,重要工單,
,,,,,,,E,,前置FAI,,,,,,,,,,,0,,50,,,,,,,,,,
,,,,,1/20,,E,,91N125020214,T650QVN07.5/55.65T55.S72/EC code: 04,91-E0056-0010,A1,2/12,2/6,2020,,0,6,6,202,0,202,2025-02-08 00:00:00,252.5,,,,1,2024-12-30 00:00:00,,重要工單,
,,,,,,,E,,前置FAI,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,1/20,,E,,55E125020182,Aristocrat Gen10 Carrier,55-77522-002E,A2,2/12,1/23,30,400,27.5,38.8,66.3,33.15,0,33.15,2025-02-08 00:00:00,50.99999999999999,,,Kim,1,2024-12-28 00:00:00,,重要工單,
,,,,,,,,2/8,,,,,,,,,,,Total,,,537.15,656,,,,,,,,,
,,,,,第一週排程,,,,,,,,,,生產數量,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,修改,First,線別,VIP,製令單號,品名,品號,版次,預計完工日,料齊日,實際生產,MO數量,反面,正面,SMT C.T(sec.),生產工時(min),換線工時(min),總工時(min),上線日,,上線時間,結束時間,備註,IE專用,,,,
,,,,,,,B,,55E124120405,Aristocrat Gen10 Backplane,55-79030-004E,A3,2/12,2/4,300,,0,18,18,90,40,130,2025-02-10 00:00:00,,,,Kim,1,2024-12-23 00:00:00,,,
,,,,,,,B,,55N125010496,AmITX-KB-G-Q170/ITS i5,55-7A104-2160,A3,2/11,1/23,150,,65.93,58.59,124.52000000000001,311.3,40,351.3,2025-02-10 00:00:00,,,,,1,2025-01-07 00:00:00,,重要工單,
,,,,,1/24,,B,,55N125030004,ECAR-EVE-CF,55-77513-0030,A1,2/12,2/7,128,,33,35,68,145.06666666666666,40,185.06666666666666,2025-02-10 00:00:00,,,,水洗機種,1,2024-12-26 00:00:00,,重要工單,
